Date,Volume,weekly returns
11/7/2013,96925500,
11/6/2013,67648600,
11/5/2013,76668300,
11/4/2013,80206200,
11/1/2013,94822200,
10/31/2013,248388200,
10/30/2013,116674400,
10/29/2013,101859700,3.724696356275296
10/28/2013,73472000,2.209834760103523
10/25/2013,45085000,3.5418671799807573
10/24/2013,46775000,8.0648236415634
10/23/2013,57207000,4.142581888246625
10/22/2013,83204000,4.688686408504174
10/21/2013,58235000,8.98792943361189
10/18/2013,88260000,8.889708594614534
10/17/2013,71522000,3.7923769392836695
10/16/2013,64678000,-1.5838873680093906
10/15/2013,81167000,-5.9595959595959656
10/14/2013,68781000,-4.82730761462331
10/11/2013,58428000,-7.269395235186317
10/10/2013,99774000,-9.785932721712548
10/9/2013,147297000,-15.92901432542227
10/8/2013,136081000,-10.75519728468392
10/7/2013,57204000,-1.2272367379255689
10/4/2013,74447000,3.0172413793103434
10/3/2013,82045000,-0.6710044733631523
10/2/2013,62834000,2.32696897374702
10/1/2013,98114000,2.717175723919089
9/30/2013,100095000,6.88831375671908
9/27/2013,81410500,8.001561280249806
9/26/2013,98220100,-0.257987695971428
9/25/2013,87879700,-3.1945006065507444
9/24/2013,136716100,-1.5067079463364228
9/23/2013,75177000,-6.547997457088374
9/20/2013,115508400,-6.169719941040218
9/19/2013,63972400,-9.243149195302305
9/18/2013,79317000,-13.287640946274609
9/17/2013,91934600,-11.8038606611937
9/16/2013,70424200,-16.349094330745714
9/13/2013,52765300,-9.343263371699392
9/12/2013,68072300,-5.452513966480442
9/11/2013,72328300,-5.439609236234465
9/10/2013,54540300,-5.458715596330264
9/9/2013,75794700,-2.702089009990912
9/6/2013,117535700,-2.5483503981797435
9/5/2013,50035400,0.35161744022503183
9/4/2013,42581900,-6.055528961225469
9/3/2013,48774900,-6.878433245760694
8/30/2013,67735100,-9.08210220392347
8/29/2013,58303400,-5.62015503875969
8/28/2013,57918200,-8.606658446362522
8/27/2013,72695100,-10.872855701311812
8/26/2013,94162400,-3.19303338171261
8/23/2013,86442300,-3.0332922318125872
8/22/2013,21931200,-8.612191958495462
8/21/2013,46116900,-7.750521920668055
8/20/2013,57995200,-7.472012496745652
8/19/2013,57609600,-7.246760116371316
8/16/2013,45840800,-6.903991370010794
8/15/2013,56521100,-13.074398249452956
8/14/2013,48423900,-10.641200545702588
8/13/2013,65379200,-4.132901134521863
8/12/2013,31161000,-0.2616431187859797
8/9/2013,43532300,0.23376623376624261
8/8/2013,41301000,1.894135962636214
8/7/2013,68854800,4.605093902752764
8/6/2013,63950800,5.1621271076523865
8/5/2013,79994800,6.481245215616227
8/2/2013,73058500,2.7069645203679213
8/1/2013,106066500,-1.9471859162443232
7/31/2013,154828700,-4.619565217391313
7/30/2013,173582800,-2.418283284613331
7/29/2013,124718800,-9.709285915890483
7/26/2013,136028900,-13.349014995589531
7/25/2013,365457900,-14.057043073341088
7/24/2013,82635600,-43.530743115805336
7/23/2013,28221600,-43.47493302717184
7/22/2013,27526300,-41.266794625719754
7/19/2013,46539700,-45.40185471406493
7/18/2013,24806900,-35.332314744079454
7/17/2013,21518500,-27.617260787992493
7/16/2013,30817600,-30.547112462006076
7/15/2013,24234000,-0.8751902587519041
7/12/2013,16537900,-0.8490930142801963
7/11/2013,26777400,-0.9298721425804031
7/10/2013,26721800,-0.3100775193798383
7/9/2013,30387900,-2.7472527472527446
7/8/2013,27064600,-7.851072440307558
7/5/2013,20229500,-8.001641362330732
7/3/2013,10404400,-7.177814029363791
7/2/2013,18394100,-6.145022531749283
7/1/2013,20582200,-4.030632809351068
6/28/2013,96778900,-3.6977491961414857
6/27/2013,34694100,-3.3252230332522315
6/26/2013,29890300,-2.2764900662251684
6/25/2013,24713200,-0.4948453608247464
6/24/2013,40626000,-2.422723475355047
6/21/2013,45833900,0.4891969017529596
6/20/2013,42765600,-3.807531380753139
6/19/2013,31790600,-2.344714109419993
6/18/2013,36709100,-1.8587360594795508
6/17/2013,33664500,-0.5828476269775211
6/14/2013,30677100,-2.6237833262801566
6/13/2013,31189300,-0.884955752212393
6/12/2013,26445800,-3.197307530500638
6/11/2013,29885900,0.5409904286308888
6/10/2013,58393000,0.08220304151253421
6/7/2013,38699200,-3.950193215972528
6/6/2013,31260700,-4.571179799738792
6/5/2013,53819700,-3.1877729257641945
6/4/2013,34760800,-0.8928571428571465
6/3/2013,35733800,0.3354297693920413
5/31/2013,35925000,1.3141683778234097
5/30/2013,60733200,0.8961303462321891
5/29/2013,64237800,0.12864493996569956
5/28/2013,50079700,4.688796680497935
5/24/2013,58727900,5.800082270670507
5/23/2013,37663100,6.1452513966480415
5/22/2013,45314500,5.20667726550079
5/21/2013,26261300,5.105222135619637
5/20/2013,42402900,4.697204968944103
5/17/2013,29462700,11.16190476190476
5/16/2013,35499100,7.768848067355521
5/15/2013,30299800,8.609022556390986
5/14/2013,24930300,7.42519394163281
5/13/2013,29068800,6.189410887397465
5/10/2013,30847100,3.8230884557721128
5/9/2013,33457200,4.733727810650878
5/8/2013,34654900,3.2079646017699153
5/7/2013,41259100,2.8263294905169265
5/6/2013,43939400,3.5183170112441013
5/3/2013,58506400,4.380077711056159
5/2/2013,104257000,7.421470486710385
5/1/2013,64567600,2.7342325920524972
4/30/2013,36245700,2.6287360460929077
4/29/2013,29201100,-0.518902891030395
4/26/2013,33018000,-0.1489757914338888
4/25/2013,17150000,-5.47054322876817
4/24/2013,19729900,-8.425890463423972
4/23/2013,25191500,-11.508852963818315
4/22/2013,25687600,-5.621871390065464
4/19/2013,20380900,-7.928488146132915
